Index,Top_1,Top_2,Top_3,Health_Risk_Score,Recommendation
0,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,INCOME2 <= -0.79,58.97,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
1,EDUCA <= -0.82,-0.31 < _SMOKER3 <= 0.71,MARITAL > 0.51,19.87,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
2,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,30.28,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
3,-0.52 < GENHLTH <= 0.39,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,50.42,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
4,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,57.38,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
5,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,,14.75,"There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
6,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,21.9,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
7,EDUCA <= -0.82,EMPLOY1 <= -0.38,-0.31 < _SMOKER3 <= 0.71,31.57,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
8,-0.52 < GENHLTH <= 0.39,-0.31 < _SMOKER3 <= 0.71,-0.79 < INCOME2 <= 0.22,44.86,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace."
9,-0.52 < GENHLTH <= 0.39,EDUCA <= -0.82,EMPLOY1 <= -0.38,62.79,"Curiosity is a strength. A little learning—through videos, articles, or local health talks—can open big doors for wellbeing. Your wellbeing matters deeply. Make space for rest, hydration, and little routines that bring you peace. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
10,INCOME2 <= -0.79,EMPLOY1 <= -0.38,AGE > 0.04,33.25,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
11,EMPLOY1 <= -0.38,,,26.04,"Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
12,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,29.13,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging."
13,EMPLOY1 <= -0.38,-0.79 < INCOME2 <= 0.22,-0.31 < _SMOKER3 <= 0.71,22.89,"You’re doing your best in your circumstances. Your health matters, no matter your budget. Explore free or affordable community health options—they’re made for support like this. There’s no shame in where you are. If you’re considering cutting back on smoking, know that every small step is a win. Work stress can be heavy. If you feel stretched, take even a few minutes each day just for you—your energy deserves recharging. You're doing beautifully. Keep honoring your body and mind with the care they deserve."
